standardScaler(),PCA,MinMaxScaler(),"Model type 
(Classification/Regression)",Model used,Model specifics (if any),Target: what we predict,Predictor variables used,Genre as predictor,Accuracy,"F1 score 
(average)",AUC of ROC curve,AIC,"R2 score 
(test set)",MSE,Remarks (if any)
0,0,1,Classification,Logistic regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.1,0.04,,,,,
0,0,1,Classification,kNN,n_neighbors = 30,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.09,0.05,,,,,
0,0,1,Regression,Regression Tree,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.5714427744,42.50970549,
0,0,1,Regression,Support Vector Machine (SVR),,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,0.002856399291,26.97411671,
0,0,1,Classification,Support Vector Machine (SVC),,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.08,0.03,,,,,
0,0,1,Classification,Logistic regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.27,0.11,,,,,
0,0,1,Classification,kNN,n_neighbors = 23,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.28,0.18,,,,,
0,0,1,Regression,Regression Tree,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-1.065872085,4.28145917,
0,0,1,Regression,Support Vector Machine (SVR),,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.09672917924,2.272938986,
0,0,1,Classification,Support Vector Machine (SVC),,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.26,0.09,,,,,
0,0,1,Classification,Logistic regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.28,0.1,,,,,
0,0,1,Classification,kNN,n_neighbors = 56,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.32,0.12,,,,,
0,0,1,Regression,Regression Tree,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-1.072724052,3.444109772,
0,0,1,Regression,Support Vector Machine (SVR),,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.06402187609,1.768015447,
0,0,1,Classification,Support Vector Machine (SVC),,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.28,0.08,,,,,
0,0,1,Classification,Logistic regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.22,0.12,,,,,
0,0,1,Classification,kNN,n_neighbors = 7,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.28,0.17,,,,,
0,0,1,Classification,kNN,n_neighbors = 29,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.28,0.17,,,,,
0,0,1,Regression,Regression Tree,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.6389542002,3.389725569,
0,0,1,Regression,Support Vector Machine (SVR),,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,0.04343244462,1.978396651,
0,0,1,Classification,Support Vector Machine (SVC),,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.23,0.13,,,,,
0,0,1,Classification,Logistic regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.21,0.09,,,,,
0,0,1,Classification,kNN,n_neighbors = 8,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.25,0.2,,,,,
0,0,1,Regression,Regression Tree,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-1.131485324,5.553882195,
0,0,1,Regression,Support Vector Machine (SVR),,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.04581729394,2.725022773,
0,0,1,Classification,Support Vector Machine (SVC),,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.23,0.09,,,,,
0,0,1,Classification,Logistic regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.25,0.08,,,,,
0,0,1,Classification,kNN,n_neighbors = 57,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.32,0.11,,,,,
0,0,1,Regression,Regression Tree,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.6324300699,3.59186747,
0,0,1,Regression,Support Vector Machine (SVR),,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.07930499202,2.374815658,
0,0,1,Classification,Support Vector Machine (SVC),,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.28,0.09,,,,,
0,0,1,Classification,Logistic regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.61,0.39,0.4888337469,,,,
0,0,1,Classification,kNN,n_neighbors = 4,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.63,0.52,0.5438895782,,,,
0,0,1,Classification,kNN,n_neighbors = 3,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.61,0.55,0.5507133995,,,,
0,0,1,Regression,Regression Tree,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.6297646126,0.3813587684,
0,0,1,Regression,Support Vector Machine (SVR),,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.1845271296,0.2771748778,
0,0,1,Classification,Support Vector Machine (SVC),,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.61,0.41,0.4920905707,,,,
1,0,0,Classification,Logistic regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.06,0.03,,,,,
1,0,0,Classification,kNN,n_neighbors = 50,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.1,0.04,,,,,
1,0,0,Regression,Regression Tree,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,-0.4174273035,38.34337349,
1,0,0,Regression,Support Vector Machine (SVR),,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,0.006061732588,26.887408,
1,0,0,Classification,Support Vector Machine (SVC),,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.09,0.03,,,,,
1,0,0,Classification,Logistic regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.27,0.12,,,,,
